"ID","SMILES","HOMO","LUMO","LUMO+1","f(S1)","f(S2)","E(S1)","E(T1)","dS1T1","EHOMO","ELUMO","ΔELL+1","fmax","ΔES1T1","consensus Log Po/w","λ"
"GERYUA","Cc1ccc2c(c1)C(=O)C(=O)C(=C2c1ccccc1)Br",-7.89538337,-2.54154336,-0.58831014,0.0001,0.0896,2.30200001377183,2.40818254245128,-0.106182528679449,"","","","","","",""
"GERZAH","Cc1ccc2c(c1)C(=O)C(=O)C(=C2c1ccccc1)CCBr",-8.04477388,-2.40902392,-0.56055453,0.0,0.0944,2.26460001354809,2.551387898554,-0.28678788500591,"","","","","","",""
"GESHEU","CC(C)(C)c1cc2cc(cc3c4cc(OS(=O)(=O)C(F)(F)F)cc5cc(OS(=O)(=O)C(F)(F)F)cc(c(c1)c23)c45)C(C)(C)C",-7.02815653,-2.16629836,-0.69008072,0.4863,0.0112,3.21330001922374,2.239648557024,0.97365146219974,"","","","","","",""
"GESJET","COC1=C(C)C(=O)C2=C(C1=O)C(O)(COC(N)=O)C1(O)C3C(CN21)N3C",-7.45918487,-2.21500674,0.93824856,0.0184,0.0031,2.71310001623127,1.9429353423345,0.77016467389677,"","","","","","",""
"GESNEZ","CC1OC2CC(=O)OC2C2=C1C(=O)C=CC2=O",-9.34438963,-2.91814893,-0.10258692,0.0,0.0,2.64640001583223,2.6993300765067,-0.0529300606744698,"","","","","","",""
"GESSAZ","O=S1(=O)N=C(c2ccc3ccccc3c2)C(=N1)c1ccc2ccccc2c1",-7.88721996,-2.48113409,-1.39512771,0.1766,0.0381,3.65850002188717,3.26732243247641,0.391177589410749,"","","","","","",""
"GESTII","Brc1ccc(cc1)c1ccc(c2ccc(Br)cc2)c2C(=O)c3ccccc3C(=O)c12",-7.81374922,-2.16602625,-1.16791265,0.0015,0.0004,3.00070001795185,2.83958939200403,0.16111062594782,"","","","","","",""
"GETCIU","CC1=[N+]2C(=CC3=CC=C(CCC(O)=O)N3[B-]2(F)F)C(=C1)C",-6.92448115,-2.14452926,0.95239848,0.6095,0.1046,3.06270001832277,1.77903409521497,1.2836659231078,"","","","","","",""
"GEVFES","COc1c(O)ccc2C(=O)C3=C(C(C)OC4CC(=O)OC34)C(=O)c12",-8.49974823,-2.42426229,-0.4734781,0.0004,0.0,2.94670001762879,3.19292568940665,-0.246225671777859,"","","","","","",""
"GEWZUG","Fc1c(F)c(F)c(c(F)c1F)C1=C2C=CC(=N2)Oc2c(Cl)c(Cl)c(OC3=NC(=C(C4=CC=C1N4)c1c(F)c(F)c(F)c(F)c1F)C=C3)c(Cl)c2Cl",-7.16965573,-2.73664899,-1.51240878,0.4648,0.0076,2.76940001656808,1.83235126675609,0.937048749811999,"","","","","","",""
"GEXBET","Fc1c(F)c(F)c(c(F)c1F)C1=C2C=CC(=N2)Oc2c(Br)c(Br)c(OC3=NC(=C(C4=CC=C1N4)c1c(F)c(F)c(F)c(F)c1F)C=C3)c(C#N)c2C#N",-7.33891055,-2.98508894,-1.70234425,0.4674,0.0325,2.70970001621093,1.73854899657607,0.97115101963486,"","","","","","",""
"GEXDAO","FC(CNC1=NN=C(NCC(F)(N(=O)=O)N(=O)=O)N=N1)(N(=O)=O)N(=O)=O",-8.42600538,-2.53011458,-2.08983437,0.0038,0.0403,2.15800001291035,2.2243745344825,-0.06637452157215,"","","","","","",""
"GEYDAS","N=C1N2c3ccccc3N=C3N(c4ccccc4)C(=O)C(=C23)C(=C1C#N)c1ccccc1",-7.41863991,-2.26861317,-1.28927542,0.1488,0.1617,3.06170001831679,2.22150536604982,0.84019465226697,"","","","","","",""
"GEZBUL","CSC1=CC(=C2C=CC=CC=C12)C1=CC=C(S1)C=C(C#N)C(O)=O",-6.25045515,-2.12929088,-1.85962605,0.0117,0.6409,1.95680001170665,1.74543919135317,0.21136082035349,"","","","","","",""
"GEZXER","CC1(Sc2ccc(Br)cc2)C(OC(=O)c2cc(cc(c2)N(=O)=O)N(=O)=O)C=Cc2ccccc12",-7.88885264,-2.15405324,-1.98126095,0.001,0.0008,3.85930002308847,3.64038263019325,0.218917392895209,"","","","","","",""
"GIBTOC","O=N(=O)c1ccc2c3c(ccc(c13)N(=O)=O)c1c(nnc(c3ccccc3)c21)c1ccccc1",-8.22246422,-3.06427407,-1.78261783,0.0029,0.2381,2.96720001775144,2.44787524559097,0.519324772160469,"","","","","","",""
"GIBVOE","O=C1Nc2c3c(N1)c(ccc3ccc2N(=O)=O)N(=O)=O",-8.07824388,-2.41092872,-1.99867623,0.3757,0.0013,3.67390002197931,3.00252708397868,0.671372938000629,"","","","","","",""
"GIBWAS","CC1=C2C(=C(C)C(C)(C)C2=C(C#N)C#N)C(=C(C#N)C#N)C1(C)C",-7.87279792,-2.3831731,-2.30943025,0.0,0.3797,3.36320002012052,2.75518533555488,0.608014684565649,"","","","","","",""
"GICMIR","N#Cc1nc(C2=CC=C(S2)C2=CC=CS2)c(nc1C#N)C1=CC=C(S1)C1=CC=CS1",-7.15224045,-2.38507789999999,-2.09745356,0.8334,0.3131,3.05460001827431,2.56554843122071,0.4890515870536,"","","","","","",""
"GICMOX","COC1=CC=C(S1)C#Cc1nc(C#N)c(nc1C#CC1=CC=C(OC)S1)C#N",-7.18788736,-2.24439504,-1.9567707,0.4393,0.4842,3.2500000194433,2.69427923527162,0.555720784171679,"","","","","","",""
"GICTIV","O=N(=O)N1C=NC(=N1)N=NC1=NN(C=N1)N(=O)=O",-9.48452826,-2.59542191,-2.07432388,0.0,0.0,2.57830001542481,2.14394230621583,0.43435770920899,"","","","","","",""
"GIDYUO","CC1(C)C2=CC=C(N2)C(C)(C)C2=CC=C(N2)C(C)(C)C2=C(NC(=C2)C(C)(C)C2=CC=C1N2)C=C1C(=O)c2ccccc2C1=C(C#N)C#N",-6.87658912,-2.34698196,-1.89418451,0.7451,0.1415,2.96110001771494,2.10375217895262,0.85734783876231,"","","","","","",""
"GIGPET","O=C(c1ccccc1)C(=O)C(=O)c1ccc(cc1)C(=O)C(=O)C(=O)c1ccccc1",-8.57485166,-2.42752766,-1.7170384,0.0003,0.0,2.46170001472725,3.47489414299609,-1.01319412826884,"","","","","","",""
"GIHPUJ","Brc1ccc(cc1)c1nc(C#N)c(nc1c1ccc(Br)cc1)C#N",-8.22055942,-2.42997668,-2.1257534,0.3896,0.2075,3.94190002358263,3.24885705870134,0.69304296488129,"","","","","","",""
"GIHVID","CCCCCCCCN1C(=O)c2cc(Br)c3C(=O)N(CCCCCCCC)C(=O)c4cc(Br)c(C1=O)c2c34",-8.4028757,-3.0825057,-1.21934216,0.2065,0.0,3.4910000208851,2.56921434902717,0.92178567185793,"","","","","","",""
"GIKKIV","CCOC(=O)[C-]([n+]1ccccc1)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O",-7.06325922,-2.38453367,-1.88466053,0.193999999999999,0.1168,2.51760001506168,2.00762877760555,0.50997123745613,"","","","","","",""
"GILFUD","CCCCCCCCN1C(=O)c2ccc3c4ccc5C(=O)N(CCCCCCCC)C(=O)c6ccc(c7ccc(C1=O)c2c37)c4c56",-7.29754924,-2.96985056,-1.15757232,0.8778,0.0,2.82270001688695,1.88522516480175,0.93747485208521,"","","","","","",""
"GIMHUF","CC=CC(=O)C(C)C1=CC(=O)C2=C(OC34CCC(O)C(C)(C)C3CCC(C)C4(C)C2)C1=O",-8.07443429,-2.15024365,-0.0786409,0.0001,0.0022,2.9290000175229,2.4502731128443,0.4787269046786,"","","","","","",""
"GIMQAV","CC(=O)N(C=CC=CC1=C(C#N)C(OC1(C)C)=C(C#N)C#N)c1ccccc1",-7.4382321,-2.60412955,-0.45823972,1.5075,0.0395,3.26950001955995,2.1011540359073,1.16834598365265,"","","","","","",""
"GIMQEZ","CC(=O)N(C=CC=CC=CC1=C(C#N)C(OC1(C)C)=C(C#N)C#N)c1ccccc1",-7.11305605,-2.68549159,-0.54096233,1.7128,0.0765,2.89840001733984,1.80661337819125,1.09178663914859,"","","","","","",""
"GIMYAC","CC1(C)CC2C(C1)C1(C)CC(=O)C1=C1C=C(C(O)=O)C(=O)OC21",-8.53457881,-2.56222402,-0.26177352,0.0,0.0007,2.75380001647475,2.62674710831239,0.127052908162369,"","","","","","",""
"GINBUB","CC(C)(C(O)=O)C1=CC(=O)c2ccccc2C1=O",-8.99309065,-2.29936204,-0.46531468,0.0003,0.0,2.9684000177586,3.07095609819221,-0.1025560804336,"","","","","","",""
"GINGOA","OC(c1ccc(cc1)C#N)=C1C(=O)OC(=O)c2ccccc12",-8.11035331,-2.25718439,-1.08872752,0.3431,0.0747,3.74830002242441,2.76121624924102,0.98708377318338,"","","","","","",""
"GIPGIV","NC(=O)C1=C2N=C(C=NN2N=N1)c1ccccc1",-8.34328277,-2.42725555,-1.02614133,0.1334,0.0023,3.62680002169752,2.79629977914304,0.83050024255448,"","","","","","",""
"GIPRUU","O=C1N(CC(=Cc2ccc(cc2)N(=O)=O)C#N)C=Nc2ccccc12",-8.10763218,-2.1532369,-0.66885584,0.0098,0.0002,3.86990002315189,4.45636118183116,-0.58646115867927,"","","","","","",""
"GIPTOO","CC(c1ccccc1)C(O)(CCCOC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)[Si](C)(C)C",-8.21130755,-2.26235455,-1.98670322,0.0015,0.0,3.75090002243996,4.2377930784841,-0.48689305604414,"","","","","","",""
"GISTIN","CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c4cccc5c(ccc(c6ccc(C1=O)c2c36)c45)c1ccc2C(=O)N(CC(O)CO)C(=O)c3cccc1c23",-7.22380639,-2.41936424,-2.06207876,1.0417,0.0202,3.15090001885043,2.32298342375041,0.82791659510002,"","","","","","",""
"GITHAT","CC1(C)OC(=C(C#N)C#N)C(=C1C=CC=CN1CCCCC1)C#N",-6.53018818,-2.24521138,0.4046333,1.6301,0.071,2.91990001746846,1.64917810039368,1.27072191707477,"","","","","","",""
"GITMEC","CCCCCC1=C(C=C(S1)C=C(C#N)C#N)C1=C(C2=C(CCCCC)SC(=C2)C=C(C#N)C#N)C(F)(F)C(F)(F)C1(F)F",-8.38165082,-2.58372101,-2.52276751,0.9722,0.2464,3.95380002365381,2.70325899234019,1.25054103131361,"","","","","","",""
"GIXVAM","CCCC(=O)OC1C2COC(=O)C2C(c2cc(OC)c3nc4ccc(cc4nc3c2)N(=O)=O)c2cc3OCOc3cc12",-7.57183999999999,-2.3339205,-1.15430695,0.0235,0.0246,3.2729000195803,2.43553052865059,0.83736949092971,"","","","","","",""
"GIXVEQ","CCCC(=O)OC1C2COC(=O)C2C(c2cc(OC)c3nc4ccc(cc4nc3c2Cl)N(=O)=O)c2cc3OCOc3cc12",-7.52095471,-2.50508011,-1.36682787,0.0458,0.0018,3.09750001853096,2.30757633753874,0.789923680992219,"","","","","","",""
"GIXVIU","COc1cc(C2C3C(COC3=O)C(OC(=O)Cc3ccccc3)c3cc4OCOc4cc23)c(Cl)c2nc3cc(ccc3nc12)N(=O)=O",-7.53918634,-2.44086124,-1.235669,0.044,0.0015,3.16080001890966,2.39391398060231,0.766886038307339,"","","","","","",""
"GIXVOA","COc1cc(C2C3C(COC3=O)C(OC(C)=O)c3cc4OCOc4cc23)c(Cl)c2nc3ccc(cc3nc12)N(=O)=O",-7.59633025,-2.3869827,-1.21526046,0.0179,0.0872,3.23810001937211,2.5058297813635,0.7322702380086,"","","","","","",""
"GIYFUQ","c1ccc(cc1)B1C(=C(c2ccccc2)C(=C1c1ccccc1)c1ccccc1)c1ccccc1",-6.4047437,-2.3692953,0.24218133,0.0101,0.0181,1.42350000851616,0.709680269177033,0.713819739339136,"","","","","","",""
"GIYKEF","CCCCCCC1(CCCCCC)c2cc(ccc2c2ccc(cc12)C1=CC=C(S1)C=C(C#N)C#N)C1=CC=C(S1)C=C(C#N)C#N",-7.20149305,-2.59542191,-2.20575487,1.8374,0.4161,3.04580001822166,2.71009939031431,0.33570062790735,"","","","","","",""
"GIYYAO","COC(=O)CCN(CCC(=O)OC)c1ccc(N=Nc2ccc(cc2)N(=O)=O)c(NC(C)=O)c1",-6.98080872,-2.31405618,-0.93171782,0.1316,0.9423,2.80270001676729,2.03003082245728,0.77266919431002,"","","","","","",""
"GOBCOQ","CC(C)[Si](C#Cc1c2cc3SC(=Cc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3SC(=Cc3cc12)F)F)(C(C)C)C(C)C",-6.21916205,-2.15051576,-0.28626377,0.3149,0.0211,2.48430001486246,1.50044665620558,0.983853358656879,"","","","","","",""
"GOBJUD","O=Cc1cc(C=O)c2C=Cc3cc(C=Cc4cc(C=Cc1c2)c(C=O)cc4C=O)c(C=O)cc3C=O",-8.35824903,-2.29310342,-2.04194233,0.001,0.0004,3.45400002066374,3.73686032377631,-0.28286030311258,"","","","","","",""
"GOBYAX01","CCC1=C2NC(=C1CC)C(=C1C=C(Br)C(=N1)C(=C1NC(=C(c3ccccc3)C3=NC(=C2c2ccccc2)C=C3Br)C=C1)c1ccccc1)c1ccccc1",-6.24773401,-2.16003975,-2.02180591,0.0189,0.0005,2.13660001278232,1.69984842048708,0.436751592295239,"","","","","","",""
"GOCQIA","CC[Si](CC)(CC)C#Cc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2cc3ccccc3cc12",-5.85589006,-2.38562213,-0.33687695,0.2392,0.001,1.98650001188434,0.967247185351389,1.01925282653295,"","","","","","",""
"GOCZED","COc1c2CC3CC(C)(CCC3C(=O)c2c(OC)c2C(=O)C=C(C(=O)c12)[Si](C)(C)C)OC",-8.18246348,-2.22480284,-0.80055895,0.0002,0.0003,2.69890001614632,3.1194035202532,-0.420503504106879,"","","","","","",""
"GODQUN","N1C(=CC=C1C(c1ccccc1)=C1C=CC(=N1)C1=NC(C=C1)=C(C1=CC=C(N1)c1ccccc1)c1ccccc1)c1ccccc1",-5.84827087,-2.23922488,-1.47077536,1.2477,0.0,2.18840001309222,1.44726799063452,0.741132022457699,"","","","","","",""
"GODWIF","COCCN1C(=O)c2cc3C(=O)N(CCOC)C(=O)c3cc2C1=O",-9.04805764,-2.23922488,-1.06178824,0.0004,0.0,3.94570002360536,3.64231409431426,0.3033859292911,"","","","","","",""
"GOFLET","FC(F)(F)c1cc(CN2C(=O)c3ccc4C(=O)N(Cc5cc(cc(c5)C(F)(F)F)C(F)(F)F)C(=O)c5ccc(C2=O)c3c45)cc(c1)C(F)(F)F",-8.90084405,-3.17012636,-1.25961501,0.4687,0.017,3.86790002313991,2.76425303981484,1.10364698332508,"","","","","","",""
"GOFSIF","CC[Si]1(Cl)(Cl)(Cl)n2cccc3ccc4cccn1c4c23",-7.77238791,-2.31079082,-2.11922267,0.0013,0.0009,3.59070002148156,3.73161913891114,-0.14091911742958,"","","","","","",""
"GOFTAY","C[Si](C)(C)OC1=CC(=O)C(=CC1=O)O[Si](C)(C)C",-8.31988098,-2.44031701,0.91403042,0.0,0.0001,3.14050001878821,2.58297242528361,0.5575275935046,"","","","","","",""
"GOHJUJ","CC(=O)C(C1Oc2ccccc2C1c1cc(C#N)c(cc1C#N)C#N)C(C)=O",-8.31226179,-2.21391829,-1.34533088,0.0002,0.0007,3.89660002331162,3.74403161220146,0.152568411110161,"","","","","","",""
"GOHSEC","CCc1c(COC(=O)c2ccc(cc2N(=O)=O)N(=O)=O)c(CC)c(COC(=O)c2ccc(cc2N(=O)=O)N(=O)=O)c(CC)c1COC(=O)c1ccc(cc1N(=O)=O)N(=O)=O",-8.44369278,-2.61827947,-2.53093092,0.0027,0.0004,3.6970000221175,3.58976646074648,0.107233561371019,"","","","","","",""
"GOJCAJ","O=C1N(Cc2ccccc2)C(=O)C2=C1SCCS2=O",-8.28450618,-2.13990332,0.51810477,0.0038,0.0042,3.44810002062845,2.82605662599654,0.6220433946319,"","","","","","",""
"GOLGUL","CC(C)C1=C2C=CC=[N+]2[B-](F)(F)N2C=CC=C12",-7.21972468,-2.24493927,1.64846571,0.446,0.086,3.15370001886718,1.93674788154136,1.21695213732582,"","","","","","",""
"GOLHIZ","Fc1ccc(cc1)C(=O)N(C(=O)c1ccc(F)cc1)C1=C(Br)C(=O)c2ccccc2C1=O",-8.48968002,-2.65719175,-1.05035946,0.0008,0.0048,3.1346000187529,2.84083730612862,0.293762712624289,"","","","","","",""
"GOLPEE","Fc1ccc(cc1F)c1cnc2cc(ccc2n1)N(=O)=O",-8.67063573,-2.82073217,-1.82098589,0.0002,0.0024,3.08550001845917,2.87421343046049,0.211286587998679,"","","","","","",""
"GOMCAN","CCOc1ccccc1C1=NN=C(Sc2ccc(cc2N(=O)=O)N(=O)=O)N1N",-7.94599655,-2.40249319,-1.99649932,0.0212,0.0007,3.69390002209895,3.50465469058974,0.18924533150921,"","","","","","",""
"GOPQEJ","O=C1N2C3CCCCC3N3C(=O)c4ccc5C(=O)N(C6CCCCC6N6C(=O)c7ccc1c1c(ccc(C6=O)c71)C2=O)C(=O)c1ccc(C3=O)c4c51",-8.31661561,-3.17665709,-2.57202011,0.002,0.0179,3.27910001961739,2.84613753969979,0.4329624799176,"","","","","","",""
"GORCOF","O=N(=O)c1ccc(cc1)N=Nc1ccc2cccccc12",-6.93210034,-2.12684186,-1.91404882,0.0099,0.0,2.44490001462675,2.17539548360223,0.26950453102452,"","","","","","",""
"GORWER","Cc1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)C1=CC=C(C=C(C#N)C#N)C2=NSN=C12",-6.60447527,-2.55378849,-1.14369451,0.9311,0.0984,2.68400001605718,2.06747450462345,0.61652551143372,"","","","","","",""
"GORWUH","Cc1ccc(cc1)N(C1=CC=C(S1)C1=CC=C(C=C(C#N)C#N)C2=NON=C12)c1ccc(C)cc1",-6.59549551,-2.70399533,-1.04546141,1.0446,0.0226,2.40630001439582,1.52736170928725,0.87893830510857,"","","","","","",""
"GORXES","Cc1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)C1=CC=C(C=C(C#N)C#N)C2=NON=C12",-6.71495349,-2.80304477,-1.1080476,1.0867,0.0846,2.56400001533927,1.86265985163392,0.70134016370534,"","","","","","",""
"GOSVAL","O=C1C=CC(C=C1)=C1C(=O)c2ccccc2C1=O",-8.59471597,-3.08767586,-1.63812538,0.0,0.0,2.44350001461837,2.77771562766617,-0.334215613047799,"","","","","","",""
"GOSVEP","ClC1C2CC(C1Sc1ccccc1)C1=C2C(=O)c2ccccc2C1=O",-7.30925014,-2.39759514,-0.36626524,0.0001,0.0001,2.91950001746607,3.00358098091935,-0.0840809634532804,"","","","","","",""
"GOWZIB","CCCC1OC2CC(=O)OC2C2=C1C(=O)C1=C(O)C=CC=C1C2=O",-8.64424069,-2.61283719,-0.49851257,0.0007,0.0007,2.79520001672244,2.54048701770513,0.254712999017309,"","","","","","",""
"GOXNIS","NC(=S)[NH+]=Nc1c([O-])c2ccccc2c2ccccc12",-7.04421125,-2.23487105,-0.64708674,0.0003,0.0118,2.76190001652322,2.68013965537256,0.0817603611506601,"","","","","","",""
"GOXNOY","CNC(=S)[NH+]=Nc1c([O-])c2ccccc2c2ccccc12",-7.03060556,-2.1690195,-0.62858299,0.0029,0.1493,2.83440001695695,2.73930836314402,0.0950916538129305,"","","","","","",""
"GUBCIR","CN1c2ccccc2C(C)(C)C1=CC=C1SC(N=C1C(C)(C)C)=C(C#N)C#N",-6.23276775,-2.32140326,-0.34204711,1.2389,0.1699,2.5734000153955,1.35371960265877,1.21968041273673,"","","","","","",""
"GUBCOX","CCCCCCN1c2ccccc2C(C)(C)C1=CC=C1SC(N=C1C(C)(C)C)=C(C#N)C#N",-6.28065978,-2.35215212,-0.31020979,1.1833,0.152,2.56030001531712,1.35459853038779,1.20570148492933,"","","","","","",""
"GUBHUG","Cc1ccc(cc1)N=C1N(c2ccc(C)cc2)C(c2ccccc12)=C1N(c2ccc(C)cc2)C(c2ccccc12)=C(C#N)C#N",-6.35249784,-2.24820463,-0.69198552,0.8167,0.0138,2.56750001536021,1.44989388928986,1.11760612607034,"","","","","","",""
"GUBRIG","COc1ccc(cc1)S(=O)(=O)N1C(N(CC1(C)C=C)S(=O)(=O)c1ccc(cc1)N(=O)=O)c1ccccc1C",-8.15198673,-2.16058397,-0.53987388,0.0007,0.0001,3.32930001991772,"","","","","","","","",""
"GUBTOO","COC(=O)C(C)NC(=O)C(C)N1C(=O)c2ccc3C(=O)N(C(C)C(=O)NC(C)C(=O)OC)C(=O)c4ccc(C1=O)c2c34",-8.73213346,-3.17039847,-1.26859477,0.4353,0.0056,3.77380002257696,2.64129676377845,1.1325032587985,"","","","","","",""
"GUCDAL","CC1(CC(=C(C#N)C(N1)=C(C#N)C#N)C1=CC=CS1)C1=CC=CS1",-7.6798692,-2.30915814,-0.16435677,0.6021,0.1036,3.61070002160121,2.59175353925079,1.01894648235041,"","","","","","",""
"GUCDEP","CC1(CC(=C(C#N)C(N1)=C(C#N)C#N)c1ccc(Cl)cc1)c1ccc(Cl)cc1",-7.93456777,-2.1886117,-0.45252533,0.416,0.2627,3.83640002295147,2.75277935931103,1.08362066364043,"","","","","","",""
"GUCLUL","CC(C)C(C)(NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)C(C)(C)NC(=O)c1ccc(cc1)N(=O)=O)C(=O)OC(C)(C)C",-7.5737448,-2.15677438,-0.75783707,0.0002,0.0,3.98820002385962,4.31352698902416,-0.325326965164539,"","","","","","",""
"GUCQEC","CCCN1C2=C(SC(=C2)C=C(C#N)C#N)C2=C1C1=C(S2)C2=C(C=C(S2)C=C(C#N)C#N)N1CCC",-6.85835749,-2.73664899,-1.95214476,2.0402,0.0684,2.73120001633955,1.99407369824462,0.737126318094929,"","","","","","",""
"GUCYIM","CC12Sc3cc(ccc3C1=C1C(=C3c4ccc(cc4SC23C)N(=O)=O)C(F)(F)C(F)(F)C1(F)F)N(=O)=O",-7.74027848,-3.25693068,-2.03813274,0.2575,0.0536,2.50960001501382,1.91017936546799,0.599420649545829,"","","","","","",""
"GUDPAX","CCN1c2ccccc2c2c1ccc1nc3ccc(cc3c(Cl)c21)N(=O)=O",-7.04965352,-2.18561845,-1.02668556,0.0612,0.211,3.09050001848908,2.35732936184141,0.733170656647669,"","","","","","",""
"GUFLUO","CC(=O)C(=NNc1ccccc1N(=O)=O)C#N",-8.25838325,-2.20221739,-1.58805643,0.0002,0.0142,3.56340002131823,2.89691730399891,0.666482717319319,"","","","","","",""
"GUGHEX","Fc1c(F)c(F)c(c(F)c1F)C1=C2C=CN=C2N2C=CC3=C2C2=C1C=CN2C1=NC=CC1=C3c1c(F)c(F)c(F)c(F)c1F",-7.08557255,-2.32983879,-2.30181106,0.0,0.1598,2.59720001553789,2.33285353733261,0.26434647820528,"","","","","","",""
"GUGHOH","CN1C=CC2=C(C3=C4N(C=C3)C3=NC=CC3=C(C3=C4C(=C12)N=C3)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F",-6.78624732,-2.29718513,-1.90942289,0.0041,0.0527,2.27160001358997,1.97657841035201,0.29502160323795,"","","","","","",""
"GUGJUO","COC(=O)C([n+]1ccccc1)=C(C(=O)OC)[C-]1C(=O)COC1=O",-6.93073977,-2.14833885,-0.95566384,0.076,0.0086,2.57470001540327,2.29303185221828,0.281668163184999,"","","","","","",""
"GUHBER","OC1=C(C(CN(=O)=O)c2ccccc2N(=O)=O)C(=O)c2ccccc2C1=O",-8.97132154,-2.6778724,-1.35648754,0.0002,0.0003,3.01900001806133,2.7442009701717,0.27479904788963,"","","","","","",""
"GUHBUH","CC(C)c1cc(C(C)C)c2Sc3cc(Sc4cc(Sc5cc(Sc1c2)c(cc5N(=O)=O)N(=O)=O)c(cc4C(C)C)C(C)C)c(cc3N(=O)=O)N(=O)=O",-8.01239233,-2.34997521,-2.23732008,0.0641,0.0032,3.47760002080493,3.28929535377651,0.18830466702841,"","","","","","",""
"GUHCIW","O=N(=O)c1ccc(cc1)C(=NNc1ccccc1)N=Nc1ccccc1",-6.97781547,-2.36303668,-1.33880014,0.0032,0.5572,2.1782000130312,1.47096801855574,0.707231994475449,"","","","","","",""
"GUHCOC","COc1ccc(cc1)N=NC(=NNc1ccccc1)c1ccc(cc1)N(=O)=O",-6.83767684,-2.16031186,-1.25172371,0.0001,0.6465,2.33860001399079,1.71351479440525,0.62508521958555,"","","","","","",""
"GUHFIZ","Nc1c(F)c(F)c2nc3c(F)c(F)c(F)c(F)c3nc2c1F",-7.56830252,-2.47678027,-0.7918513,0.0782,0.0024,3.11320001862489,2.19330947308176,0.91989054554313,"","","","","","",""
"GUHFOF","CCN(CC)c1c(F)c(F)c2nc3c(F)c(F)c(F)c(F)c3nc2c1F",-7.5500709,-2.55650963,-1.03430475,0.1241,0.0039,3.09730001852977,2.26437989645241,0.832920122077359,"","","","","","",""
"GUJWUF","CC[Si](CC)(CC)C#Cc1c2C(=O)c3ccccc3c2c(C#C[Si](CC)(CC)CC)c2C(=O)c3ccccc3c12",-7.43278983,-2.25092577,-1.4539043,0.0024,0.0399,3.00290001796501,2.63483732520027,0.368062692764739,"","","","","","",""
"GUJXEQ","CC(C)(C)[Si](C)(C)C#Cc1c2C(=O)c3ccccc3c2c(C#C[Si](C)(C)C(C)(C)C)c2C(=O)c3ccccc3c12",-7.46544349,-2.29446399,-1.47485707,0.018,0.0198,3.0086000179991,2.62680234742145,0.381797670577649,"","","","","","",""
"GUJXIU","CC(C)C[Si](C)(C)C#Cc1c2C(=O)c3ccccc3c2c(C#C[Si](C)(C)CC(C)C)c2C(=O)c3ccccc3c12",-7.4951039,-2.25990553,-1.44247552,0.0,0.0362,3.01030001800928,2.69126666283425,0.319033355175029,"","","","","","",""
"GUJXOA","CCC[Si](CCC)(CCC)C#Cc1c2C(=O)c3ccccc3c2c(C#C[Si](CCC)(CCC)CCC)c2C(=O)c3ccccc3c12",-7.43088503,-2.26289878,-1.43186308,0.006,0.0361,2.99040001789023,2.61293243235489,0.37746758553534,"","","","","","",""
"GUJXUG","C[Si](C)(CCC(F)(F)F)C#Cc1c2C(=O)c3ccccc3c2c(C#C[Si](C)(C)CCC(F)(F)F)c2C(=O)c3ccccc3c12",-7.62762334,-2.47024953,-1.72411336,0.0363,0.001,2.98850001787885,2.59953953285995,0.388960485018899,"","","","","","",""
"GUJYAN","C[Si](C)(C#Cc1c2C(=O)c3ccccc3c2c(C#C[Si](C)(C)c2ccccc2)c2C(=O)c3ccccc3c12)c1ccccc1",-7.38952372,-2.22725187,-1.45363219,0.0002,0.0369,2.93560001756238,2.62243546434927,0.313164553213119,"","","","","","",""
"GUKPEH","O=C1C2=C(SCCS2)C(=O)C2=C1SCCS2",-6.92502538,-2.50181474,0.22803141,0.0004,0.0141,2.1667000129624,1.70001930799701,0.46668070496538,"","","","","","",""
"GUKPIL","O=C1C2=C(SCCCS2)C(=O)C2=C1SCCCS2",-6.90243993,-2.35650595,0.00163268,0.003,0.0208,2.29000001370005,1.85884862504597,0.43115138865408,"","","","","","",""
"GUMKAC","CCOC(=O)c1cc(N=Nc2cc(ccc2Cl)N(=O)=O)c(nc1NC(C)=O)c1ccc(Cl)cc1",-7.89239012,-2.31323984,-1.79486296,0.0005,0.677,2.49200001490852,2.08626995251046,0.40573006239806,"","","","","","",""
"GUMMUW03","OC1=C(O)C(=O)C(=O)C1=O",-8.90819112,-2.54943467,-2.26942951,0.0001,0.0003,2.26820001356962,2.20642448991857,0.0617755236510597,"","","","","","",""
"GUMPOV","CCOC(=O)c1cc(N=Nc2cc(ccc2Cl)N(=O)=O)c(nc1N(C(C)=O)C(C)=O)c1ccc(Cl)cc1",-8.05756323,-2.5246723,-1.74805938,0.0012,0.4138,2.37620001421575,1.97721842211637,0.39898159209937,"","","","","","",""
