"ID","SMILES","HOMO","LUMO","LUMO+1","f(S1)","f(S2)","E(S1)","E(T1)","dS1T1","EHOMO","ELUMO","ΔELL+1","fmax","ΔES1T1","consensus Log Po/w","λ"
"ACULUF","CC12C3=C4C5=C6C7=C8C9=C%10C%11=C%12C%13=C%14C%15=C%16C(=C%10%13)C%10=C9C9=C%13C%17=C%10C%16=C%10C%16=C%15C%15=C%18C%19=C%20C(=C%14%15)C%12=C%12C(=C7%11)C6=C3C(=C%20%12)C1=C%19C1(c3ccccc3)C%18=C%16C3(C)C%10=C%17C6(C)C%13=C(C5=C89)C4(C)C45OC64C43OC14C25O",-7.10706955,-2.37827505,-2.36194822,0.0,0.0004,2.81820001686003,2.72171212099157,0.09648789586846,"","","","","","",""
"ACUMAM","CC12C3=C4C5=C6C7=C8C9=C%10C%11=C%12C%13=C%14C%15=C%16C%12=C%12C(=C7%11)C6=C3C3=C%12C%16=C6C7=C%15C%11=C%12C%15=C%16C(=C%14%11)C(=C%10%13)C%10=C9C9=C%11C(=C%16%10)C%10=C%15C%13(C)C%12=C7C(C)(C6=C13)C1=C2C2=C(C%10(C)C%11=C(C5=C89)C42C)C%131C",-6.84175854,-2.20847601,-2.163033,0.0001,0.0008,2.72230001628631,2.59401126786823,0.128288748418079,"","","","","","",""
"ACUNOD","COc1ccc(cc1)C(=O)C1=C(OC(=CC(C)=O)C1=O)c1ccc(OC)cc1",-7.83007605,-2.14208023,-0.89634302,0.0,0.0004,3.09980001854472,2.79483210587666,0.30496791266806,"","","","","","",""
"ACUQAQ","FC(F)(F)c1ccc2nc([O-])c3cc(cc([n+]3c2c1)c1ccccc1)c1ccccc1",-6.61590405,-2.41745945,-1.14832045,0.1883,0.0085,2.39820001434736,1.70247649606114,0.695723518286219,"","","","","","",""
"ADAKAS","CC1=CC(=C(C)S1)C1=C(C2=C(C)SC(=C2)C=C(C#N)C#N)C(F)(F)C(F)(F)C1(F)F",-8.04286908,-2.27378333,-1.27267648,0.5434,0.2648,4.03750002415456,2.81448471239829,1.22301531175625,"","","","","","",""
"ADEWEM","CC(=NNc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O)c1ccccc1",-7.84368174,-2.4321536,-2.05064998,0.3481,0.0043,3.51520002102988,2.93806793873005,0.577132082299819,"","","","","","",""
"ADIDUP","O=C1N(N2C=NN=C2)C(=O)c2cccc3cccc1c23",-8.51743563,-2.43650742,-0.64763096,0.2628,0.0015,4.14830002481743,2.96934522172131,1.17895480309611,"","","","","","",""
"ADIGUR","CC1=CC2=C(C(=O)c3ccc(Cl)cc3)C3=C(N2C=C1)C(=O)c1ccccc1C3=O",-7.26217444,-2.14670617,-0.94940522,0.0844,0.0549,3.15640001888333,2.91114689916368,0.24525311971965,"","","","","","",""
"ADIVOZ","Cc1cc2nc3nc(C#N)c(nc3nc2cc1C)C#N",-8.60478418,-3.27461808,-1.73853539,0.0003,0.0172,2.75490001648134,2.69737365955581,0.0575263569255297,"","","","","","",""
"ADIVUF","COc1cc2nc3nc(C#N)c(nc3nc2cc1OC)C#N",-8.45648213,-3.06590675,-1.59213814,0.0,0.004,2.88120001723693,2.72127347346926,0.15992654376767,"","","","","","",""
